user_name,review_title,review_date,review_text,rating
jesamazinghawley,"""Perfect for a 15 yro girl""",25 September 2020,"""This is the movie I wish I had at 15. This isn't about Sherlock Holmes. It's not about solving a mystery or surprising the audience. It's about a teenage girl finding out who she is. It was charming, funny, wonderfully acted, aesthetically pleasing, and sweet. If you are a grown man criticizing it, Back off. This wasn't made for you. Or me. This was made for 15 yro girls. And the fifteen year old girl in me LOVED it.""",8
faolanredwolf,"""Not for Sherlock Holmes fans, but not bad either.""",24 September 2020,"""Enola Holmes is absolutely wonderful, quirky and charming. You'll absolutely love it, unless you're a Sherlock Holmes fan, then it quickly looses its charms. They basically change every character completely to fit the story, rendering them unrecognisable. But, it's made for young teen girls and they will love it. I should also add, that Henry Cavill is one of the worst Sherlock Holmes, I've ever seen. I genuinely like him as an actor, but in this case I think he was terribly miscast.If you love Sherlock Holmes, you won't love this... but if you don't care about Holmes you'll have a great time.""",6
korpake,"""It could have been so much more...""",23 September 2020,"""Interesting premise, interesting setting, good actors, terrible writing.
The plot is all over the place.The main character verges on being a ""perfect, but boring"" character. Why are male characters belittled in order to elevate the female ones? Just write them all better instead of doing it this lazy way.Events happen in ways that dont make sense and for no reason other than that the plot demands it.I know this isn't a historical drama and I'm ok to suspend disbelief with a bit of artistic license, but the historical inaccuracies going on are so glaring it removes the viewer from the story entirely. It is made so much worse by sticking ""modern-acting"" characters in a society where such acts would be so out of place.Nothing wrong with a theme of feminism, but it is poor writing to shove the theme in our face every minute. The theme should speak through the actions of the characters, not them telling it to your face while looking at the camera.""",5
zekehardrock,"""Am I the only man who love this movie?""",23 September 2020,"""Mille Bobby Brown is excellent, Sam Claflin is extraordinary and Henry Cavil is being Henry Cavil. The Production is great, the story is heart warming but the mystery is not to much.
I cant wait to see the spin off with Henry Cavil as Sherlock Holmes.""",9
robertnees,"""Jiu-Jitsu in the early 1900s, Yes, females and children were taught.""",24 September 2020,"""For the other reviewers that stated things like female Jiu-Jitsu classes were unheard off and it ruins the ""period films"", are just wrong. Jiu-Jitsu classes for males, females and children were held in England and Europe. Mr. and Mrs Garrud Garrud, trained by a Japanese master, ran his dojo after he went back to Japan (1908?). Mrs. Garrud ran the Suffragette Self-Defense Club, her and the club have quite the story (worth a rabbit hole dive).""",6
sullybolly,"""A Bit Lost""",23 September 2020,"""It sort of tries to be too many things at once.You think it's going to puzzle your brain a lot based on how things are set up, but it doesn't.There're commentaries on oppression and class/privilege differences thrown in there, which were alright, but sometimes annoying.There's a little love story thrown in there too, which is kind of unnecessary. It does get woven into the story and messages, but it's a bit hit and miss.Conceptually good, and well acted. But the execution needs some work.""",5
rhydll,"""Enola Holmes, a fantastic film.""",23 September 2020,"""I've seen many people have disliked the film because of ""historical inaccuracies"" and it's feminist ideas. I must respectfully say, as much as I respect your opinions, you've missed the point of the film entirely.Enola Holmes was not intended to be a masterpiece by Scorsese/Tarantino/James Cameron/Peter Jackson/Spielberg/Nolan et cetera et cetera and leave you with a powerful message or a million questions. This is supposed to be a fun family action/mystery for people of all ages to enjoy, with a hint of that familiar character that is the iconic detective of Baker Street. The film succeeded in its aims to be fun, a film to watch with others to unwind after a long day and forget about life. This film, along with a great story and stellar cast led by the always spectacular Miss Millie Bobby Brown, is exactly what this world needs at this moment in time.The aforementioned cast did brilliantly in their roles. MiIlie Bobby Brown pulls the character off excellently, managing to be a perfect blend of Sherlock and a regular teenage girl, creating a fantastic original character. Cavill and Claflin were exceedingly good (and at some points rather humorous) in their roles of the Holmes brothers and Helena Bonham Carter brings her usual brilliance to the table in her role. The film itself is fantastic, managing to entertain whilst working in the underlying subplot and message of women's rights.I'd highly suggest watching this film and if my argument hasn't persuaded you, let me ask you this; why do we go to the cinema but to be entertained?""",9
the_oak,"""Fun, sweet and uplifting""",24 September 2020,"""I enjoyed this movie and I am someone who is in the center politically. I sometimes think woke culture is pushed too much, but not in this movie. In my opinion this movie is about being your own person. I loved the acting and had no problems accepting the story.""",9
tomapati,"""MILLIE DOES IT RIGHT""",7 October 2020,"""It requires braveness to be young and speak up your voice the way Millie does. It's a stunning, beautiful movie for those forgotten women in the last century. It's not just a feminist movie, it's a statement of intents of what our mission as young people is: stand up for equality, human rights and commemorate the good ones in the past. Also, a very good adventure movie to watch in family .""",8
pranayjalvi,"""Millie Bobby Brown solves a dull mystery in Netflix's disappointing Enola Holmes""",23 September 2020,"""Without much of a mystery to solve, this young Holmes comes across more like a junior-level Wonder Woman: intelligent and highly trained yet puzzled by this unfamiliar, unfair world of men.The movie was less intriguing with no high level mystery whatsoever. It didn't seem as a whole, rather was scattered into bits and pieces which made it kind of dull. A-List cast but a weak storyline and a no-suspense mystery drowns Enola Holmes into disappointment.
My Rating : 2.5/5""",5
