user_name,review_title,review_date,review_text,rating
hailgenghiskhan,"""A cult feminist movie""",1 October 2020,"""A pure fiction with no genius minded teen girl( I mean not that much intelligent as rdj Sherlock Holmes..) story runs with a feminist tone...where man is called useless even though so many inventions are made by them and even small boys are also called useless unnecessarily...belive me this film is only for feminists... not for true Sherlock fans and not for genuine humans. finally this movie is not worth of your time.Remember time is not just a concept but it represents your life span.""",1
libertysanders,"""Don't waste your time.""",1 October 2020,"""If there's one thing that consistently annoys me it is meddling with established historical literary characters. The casting for the characters of Sherlock and Mycroft Holmes is a train wreck, both in terms of their physical traits and their personalities. For those actually familiar with these characters no explanation is necessary. For everyone else to do so is pointless. The shame of it is that this rendition could have been filmed with the characters intact. If there are more productions in this franchise I will NOT be watching them.""",1
ganzierozzi,"""Utter crap and the most annoying acrtress of her generation""",29 September 2020,"""The algorithm era strikes again: ""oh, ok, stranger things Is our most rated show, the witcher Is the most rated of the last eight months(and this Is probably bad for a streaming platform that put out contents every week). So, put the two actors in a movie, obviously with some approx. sprayed feminism, cause Is the winning spot in this times. Ok. The plot? The characters? The directing? Oh nevermind, the target of this stuff doesn't need that. They only Need something to put in some ig story, with some snob and catchy sentence""""",1
desdeelfondodelabismo,"""Disappointing""",25 September 2020,"""I only saw about 30 minutes of the movie because i got very bored. In those 30 minutes none of the characters acted in a intelligent way, and being the Holmes family, that's disappointing.Especially Enola. She's supposed to be very intelligent, but she required the help of scrabble letters chips to read an ""encrypted code"" that resulted to be only a backward written sentence that could be easily seen at first sight.""",2
wolfnet-56595,"""Story from alternative universe, apparently""",27 September 2020,"""Since I know enough about history I could not watch it till the end. Such... Ignorance and disrespect to history. Why they even needed Holmes? Only to be able to sell it. Nobody would be interested about that movie if they would not used name of Doyle's character. Ehhh... World need good movies and not another stupid feminist propaganda movie. And worst is they are not even trying to hide it. Men are weak, incompetent while Enola does jiujitsu, understand how to make bombs... And when she interacts with that boy he is opressed by her like useless servant... Damn, I am so happy I remember time when movies was about stories and not stupid propaganda...""",2
tomt-97339,"""No! Dont do it to yourself...""",23 September 2020,"""Waste of time movie that seems to be made as it goes so you wont be able to describe what was is about when it ends.
Lots of wtf scenes, bad dialogues and annoying monologues when Enola talking to camera or to her self,....
Not a film critic here but better rewatch any old movie you liked the this - time would be better invested. However maybe some 10 years old girl can find Enola as her future idol, but I wouldnt bet on that. Sorry 😕""",2
sharnelperera,"""Snooze fest""",26 September 2020,"""I was so excited to watch this, being a big fan of the older Sherlock Holmes films, but this was honestly nothing more than a snooze fest. The cast was impressive however the storyline was incredibly boring. You'd think a film revolving around the mystery disappearance of Sherlock Holmes (and therefore Enola Holmes's) mother would be somewhat exciting.... but it isn't. Probably the most infuriating thing about the film is Enola herself where she insists on speaking directly to us, the audience. Yes, we get it, you're a young and curious girl about to go on an 'adventure'. Just shut up and get on with it will you?! Sadly, the 'adventure' just never eventuates until maybe the last 10 minutes or so where there is a brief and extremely boring moment where Enola and her love interest are being shot at. But neither is seriously injured ofcourse. Throughout the film, the so called 'puzzle' regarding Enola's mother's disappearance unravels excruciating slowly and with seemingly very little effort or any real detective work. About a quarter of the way into this film, I was looking at the clock wondering when it will end and debating whether or not I should just switch it off early. I persevered on the silly notion that perhaps it will get better. Unfortunately, it didn't.""",3
pskurrie,"""Missing the Point""",26 September 2020,"""Reviewers who are mentioning a 'refreshing take' are actually missing the point of the negative reviews. They've taken existing IP and changed the context, changed the core characters and embedded 21st Century themes into it. Don't come back as it's a 're-imagining' and is 'updating' - no, the time period setting should be true to the story. Did they have modern cars? Why not?
Those suggesting about Harry Potter.....what if Potter was re-imagined as a black farm boy with no magic powers and no Hogwarts? Would it be considered inaccurate?
Holmes, much like Bond, is a set world, set characters who act specific ways.
By all means create a female centric version, but don't use the Holmes name.
Interesting that the original writers estate is currently suing this film for misrepresenting it's core characters. Elona Holmes was written in 2008 by a writer piggy-backing off a known brand. Really lazy. Sums up this generation.""",3
aarongnr,"""Utter garbage""",27 September 2020,"""I can't say there is anything good about this movie. The acting is terrible, the script is badly written and the story is your typical female empowerment, just... without the empowerment? The female empowerment in this movie is basically a mother not giving her daughter a proper education because that's a somehow a curveball to society.And it's not smart either. Most of ""riddles"" in this are just wordplay which any 10y/o could solve with some time. Enola is a quick thinker and can solve it quicker, but that doesn't make the riddles any less boring.Don't waste your time on this. Millie Bobbie Brown is anything but a great actress (yet?).""",3
floradora,"""Subtle As A Brick""",28 September 2020,"""Another film that seeks to ""educate"" viewers and is rather heavy-handed about it. Women's rights, girl power, finding and embracing oneself, the brutality of misogyny and racism, a telegraphed ending... as Bill the Cat would say, ""ACK!"" There are so many cuts in every scene, the director must think viewers have the attention spans of gnats. Though the premise might have been clever, a very dissatisfying film altogether.""",4
